week_key,case,monday_low,monday_high,monday_close,monday_range,week_range,tuesday_close,tuesday_return_pips,tuesday_direction,week_low_price,week_high_price,confirms_bullish,confirms_bearish
2016-W28,LOTW_Monday,1.10157,1.10746,1.10563,58.900000000001725,149.00000000000136,1.1058,1.7000000000000348,UP,1.10157,1.11647,True,
2016-W29,HOTW_Monday,1.10374,1.10841,1.10741,46.69999999999952,128.59999999999872,1.10195,-54.60000000000021,DOWN,1.09555,1.10841,,True
2016-W30,LOTW_Monday,1.09519,1.09987,1.09943,46.79999999999795,245.29999999999941,1.09853,-8.999999999999009,DOWN,1.09519,1.11972,False,
2016-W33,LOTW_Monday,1.11533,1.12036,1.11829,50.3000000000009,212.90000000000032,1.12776,94.7000000000009,UP,1.11533,1.13662,True,
2016-W36,LOTW_Monday,1.11391,1.11821,1.11475,42.9999999999997,187.80000000000018,1.12554,107.90000000000077,UP,1.11391,1.13269,True,
2016-W39,HOTW_Monday,1.12211,1.1279,1.1252,57.89999999999962,125.79999999999814,1.12146,-37.400000000000766,DOWN,1.11532,1.1279,,True
2016-W40,HOTW_Monday,1.12051,1.12432,1.12102,38.10000000000091,139.00000000000023,1.12023,-7.899999999998464,DOWN,1.11042,1.12432,,True
2016-W41,HOTW_Monday,1.11313,1.12027,1.11375,71.40000000000146,234.00000000000088,1.10517,-85.80000000000032,DOWN,1.09687,1.12027,,True
2016-W44,LOTW_Monday,1.09359,1.09909,1.09797,54.99999999999838,205.2999999999994,1.10542,74.50000000000179,UP,1.09359,1.11412,True,
2016-W46,HOTW_Monday,1.0709,1.08396,1.07356,130.6000000000007,270.69999999999925,1.07198,-15.800000000001369,DOWN,1.05689,1.08396,,True
2016-W49,LOTW_Monday,1.05045,1.07961,1.07631,291.59999999999854,368.6999999999996,1.07159,-47.20000000000057,DOWN,1.05045,1.08732,False,
2017-W03,LOTW_Monday,1.05793,1.06358,1.05982,56.49999999999933,140.40000000000052,1.07107,112.49999999999983,UP,1.05793,1.07197,True,
2017-W05,LOTW_Monday,1.06201,1.07402,1.06924,120.10000000000076,208.60000000000102,1.07972,104.80000000000045,UP,1.06201,1.08287,True,
2017-W06,HOTW_Monday,1.07055,1.07912,1.07488,85.70000000000189,183.60000000000153,1.06828,-66.00000000000162,DOWN,1.06076,1.07912,,True
2017-W08,HOTW_Monday,1.06031,1.06328,1.0611,29.69999999999917,139.10000000000088,1.05347,-76.30000000000025,DOWN,1.04937,1.06328,,True
2017-W09,HOTW_Monday,1.05513,1.06305,1.05858,79.2000000000015,135.60000000000016,1.05752,-10.600000000000609,DOWN,1.04949,1.06305,,True
2017-W13,HOTW_Monday,1.08269,1.09061,1.08641,79.2000000000015,256.10000000000133,1.08123,-51.800000000001845,DOWN,1.065,1.09061,,True
2017-W15,LOTW_Monday,1.05697,1.06066,1.05948,36.89999999999971,107.90000000000077,1.06043,9.500000000000064,UP,1.05697,1.06776,True,
2017-W16,LOTW_Monday,1.06024,1.06705,1.06419,68.09999999999982,174.90000000000006,1.07297,87.8000000000001,UP,1.06024,1.07773,True,
2017-W17,LOTW_Monday,1.08206,1.09181,1.08663,97.49999999999926,130.09999999999965,1.09241,57.800000000001184,UP,1.08206,1.09507,True,
2017-W19,HOTW_Monday,1.09162,1.10211,1.09229,104.89999999999888,181.99999999999994,1.08723,-50.60000000000065,DOWN,1.08391,1.10211,,True
2017-W20,LOTW_Monday,1.09225,1.09895,1.0975,67.0000000000015,289.39999999999964,1.10809,105.900000000001,UP,1.09225,1.12119,True,
2017-W23,HOTW_Monday,1.12341,1.12837,1.12519,49.600000000000755,117.40000000000083,1.12758,23.900000000001143,UP,1.11663,1.12837,,False
2017-W25,HOTW_Monday,1.1143,1.12127,1.11465,69.6999999999992,94.00000000000075,1.1133,-13.499999999999623,DOWN,1.11187,1.12127,,True
2017-W26,LOTW_Monday,1.11717,1.12198,1.11811,48.09999999999981,273.60000000000053,1.13382,157.10000000000113,UP,1.11717,1.14453,True,
2017-W29,LOTW_Monday,1.14346,1.1487,1.14776,52.400000000001334,248.3000000000013,1.15533,75.70000000000077,UP,1.14346,1.16829,True,
2017-W31,LOTW_Monday,1.1723,1.18455,1.18403,122.50000000000094,187.10000000000005,1.17999,-40.399999999998215,DOWN,1.1723,1.19101,False,
2017-W33,HOTW_Monday,1.177,1.18382,1.17783,68.20000000000049,176.20000000000192,1.1733,-45.29999999999923,DOWN,1.1662,1.18382,,True
2017-W34,LOTW_Monday,1.17312,1.18279,1.18145,96.70000000000067,210.09999999999974,1.17602,-54.299999999998235,DOWN,1.17312,1.19413,False,
2017-W37,HOTW_Monday,1.19478,1.20294,1.19511,81.59999999999945,191.5,1.19655,14.400000000001079,UP,1.18379,1.20294,,False
2017-W39,HOTW_Monday,1.18321,1.19364,1.18473,104.29999999999939,219.40000000000072,1.17917,-55.600000000000094,DOWN,1.1717,1.19364,,True
2017-W40,HOTW_Monday,1.173,1.18147,1.17313,84.69999999999978,145.60000000000127,1.17416,10.300000000000864,UP,1.16691,1.18147,,False
2017-W41,LOTW_Monday,1.17195,1.17558,1.17394,36.300000000000225,160.09999999999857,1.18073,67.90000000000074,UP,1.17195,1.18796,True,
2017-W44,LOTW_Monday,1.15937,1.16577,1.16489,63.999999999999616,96.49999999999936,1.16442,-4.699999999999704,DOWN,1.15937,1.16902,False,
2017-W46,LOTW_Monday,1.16373,1.1675,1.16659,37.700000000000514,223.2999999999996,1.17966,130.69999999999914,UP,1.16373,1.18606,True,
2017-W48,HOTW_Monday,1.18955,1.19611,1.18968,65.599999999999,152.30000000000078,1.18379,-58.900000000001725,DOWN,1.18088,1.19611,,True
2017-W49,HOTW_Monday,1.18291,1.18785,1.1864,49.40000000000167,148.50000000000028,1.18251,-38.899999999999494,DOWN,1.173,1.18785,,True
2017-W51,LOTW_Monday,1.17371,1.1834,1.17801,96.89999999999976,164.5999999999992,1.18382,58.10000000000093,UP,1.17371,1.19017,True,
2018-W01,LOTW_Monday,1.14213,1.14674,1.14644,46.10000000000003,667.5999999999993,1.20569,592.5000000000002,UP,1.14213,1.20889,True,
2018-W04,LOTW_Monday,1.22138,1.22704,1.22581,56.59999999999998,323.7000000000001,1.2297,38.899999999999494,UP,1.22138,1.25375,True,
2018-W06,HOTW_Monday,1.23625,1.24747,1.2365,112.20000000000007,269.20000000000056,1.23755,10.499999999999954,UP,1.22055,1.24747,,False
2018-W07,LOTW_Monday,1.22349,1.22971,1.229,62.20000000000114,320.10000000000093,1.23499,59.899999999999395,UP,1.22349,1.2555,True,
2018-W08,HOTW_Monday,1.2369,1.2435,1.24062,65.99999999999939,175.30000000000047,1.2337,-69.20000000000037,DOWN,1.22597,1.2435,,True
2018-W09,HOTW_Monday,1.22777,1.23547,1.23163,77.0000000000004,200.29999999999993,1.2232,-84.29999999999937,DOWN,1.21544,1.23547,,True
2018-W10,LOTW_Monday,1.2269,1.23636,1.23355,94.59999999999802,176.7999999999992,1.24028,67.30000000000125,UP,1.2269,1.24458,True,
2018-W14,HOTW_Monday,1.2282,1.23447,1.23008,62.699999999999974,129.69999999999925,1.22692,-31.600000000000517,DOWN,1.2215,1.23447,,True
2018-W15,LOTW_Monday,1.22601,1.233,1.23202,69.90000000000052,135.6999999999986,1.23548,34.600000000000186,UP,1.22601,1.23958,True,
2018-W17,HOTW_Monday,1.21972,1.22892,1.22078,92.00000000000097,234.00000000000088,1.22315,23.699999999999832,UP,1.20552,1.22892,,False
2018-W18,HOTW_Monday,1.20642,1.21387,1.20764,74.49999999999957,228.50000000000037,1.19919,-84.50000000000068,DOWN,1.19102,1.21387,,True
2018-W19,HOTW_Monday,1.18976,1.19776,1.19216,80.00000000000007,155.0999999999991,1.18638,-57.800000000001184,DOWN,1.18225,1.19776,,True
2018-W20,HOTW_Monday,1.19261,1.1996,1.19266,69.90000000000052,246.2999999999993,1.18371,-89.50000000000014,DOWN,1.17497,1.1996,,True
2018-W22,HOTW_Monday,1.16072,1.17283,1.16229,121.10000000000065,218.30000000000015,1.15395,-83.40000000000015,DOWN,1.151,1.17283,,True
2018-W27,LOTW_Monday,1.1591,1.16892,1.16385,98.19999999999939,176.09999999999903,1.1655,16.499999999999293,UP,1.1591,1.17671,True,
2018-W28,HOTW_Monday,1.17326,1.17906,1.175,58.00000000000027,178.00000000000037,1.17439,-6.099999999999994,DOWN,1.16126,1.17906,,True
2018-W30,HOTW_Monday,1.16835,1.17498,1.16914,66.29999999999913,129.5999999999986,1.16875,-3.900000000001125,DOWN,1.16202,1.17498,,True
2018-W34,LOTW_Monday,1.13941,1.14848,1.14793,90.69999999999911,245.40000000000006,1.15698,90.50000000000003,UP,1.13941,1.16395,True,
2018-W37,LOTW_Monday,1.1526,1.16156,1.15908,89.59999999999857,195.49999999999957,1.1604,13.199999999999878,UP,1.1526,1.17215,True,
2018-W38,LOTW_Monday,1.16177,1.16979,1.16829,80.20000000000138,184.80000000000052,1.16635,-19.400000000000528,DOWN,1.16177,1.18025,False,
2018-W39,HOTW_Monday,1.1724,1.18148,1.17476,90.79999999999977,244.90000000000123,1.1766,18.400000000000638,UP,1.15699,1.18148,,False
2018-W40,HOTW_Monday,1.15631,1.16243,1.15777,61.20000000000125,161.10000000000068,1.15454,-32.300000000000665,DOWN,1.14632,1.16243,,True
2018-W43,HOTW_Monday,1.14556,1.15499,1.14639,94.3000000000005,214.39999999999904,1.14698,5.9000000000009045,UP,1.13355,1.15499,,False
2018-W46,LOTW_Monday,1.12154,1.13303,1.12167,114.9,204.59999999999923,1.12873,70.60000000000066,UP,1.12154,1.142,True,
2018-W50,HOTW_Monday,1.13503,1.14425,1.13547,92.20000000000006,172.90000000000026,1.13152,-39.49999999999898,DOWN,1.12696,1.14425,,True
2018-W51,LOTW_Monday,1.12967,1.13577,1.13472,60.99999999999994,189.20000000000047,1.13595,12.300000000000644,UP,1.12967,1.14859,True,
2019-W01,LOTW_Monday,1.11718,1.12207,1.11985,48.899999999998386,324.89999999999907,1.12076,9.099999999999664,UP,1.11718,1.14967,True,
2019-W02,LOTW_Monday,1.13954,1.14826,1.1474,87.20000000000061,174.30000000000058,1.14406,-33.39999999999898,DOWN,1.13954,1.15697,False,
2019-W05,LOTW_Monday,1.139,1.14436,1.14271,53.600000000000314,124.10000000000032,1.14307,3.60000000000138,UP,1.139,1.15141,True,
2019-W06,HOTW_Monday,1.14244,1.14603,1.14353,35.90000000000204,139.60000000000196,1.14054,-29.89999999999826,DOWN,1.13207,1.14603,,True
2019-W09,LOTW_Monday,1.13281,1.13675,1.13568,39.39999999999833,91.59999999999835,1.13888,31.999999999998696,UP,1.13281,1.14197,True,
2019-W10,HOTW_Monday,1.1309,1.13826,1.13394,73.60000000000034,206.20000000000084,1.13073,-32.099999999999355,DOWN,1.11764,1.13826,,True
2019-W11,LOTW_Monday,1.12217,1.12583,1.12488,36.60000000000218,122.6000000000016,1.1288,39.199999999999235,UP,1.12217,1.13443,True,
2019-W13,HOTW_Monday,1.12889,1.13314,1.13129,42.50000000000087,121.59999999999948,1.12701,-42.79999999999839,DOWN,1.12098,1.13314,,True
2019-W15,LOTW_Monday,1.12118,1.12744,1.12616,62.599999999999326,112.09999999999943,1.12612,-0.40000000000040004,DOWN,1.12118,1.13239,False,
2019-W17,HOTW_Monday,1.12357,1.1262,1.12566,26.300000000001322,150.9000000000005,1.12268,-29.800000000002047,DOWN,1.11111,1.1262,,True
2019-W20,HOTW_Monday,1.12216,1.12635,1.12216,41.89999999999916,108.39999999999961,1.12033,-18.299999999999983,DOWN,1.11551,1.12635,,True
2019-W22,HOTW_Monday,1.11869,1.12151,1.1191,28.200000000000447,99.10000000000085,1.11598,-31.200000000000117,DOWN,1.1116,1.12151,,True
