week_key,high_day,high_dow,high_day_name,low_day,low_dow,low_day_name,weekly_range_pips,high_first,low_first,same_day,year,weekly_return,bullish
2003-W32,2003-08-05,1,Tuesday,2003-08-10,6,Sunday,161.00000000000003,True,False,False,2003,1.9999999999997797,True
2003-W34,2003-08-18,0,Monday,2003-08-21,3,Thursday,313.99999999999875,True,False,False,2003,-276.0000000000007,False
2003-W35,2003-08-31,6,Sunday,2003-08-25,0,Monday,221.99999999999997,False,True,False,2003,103.99999999999964,True
2003-W36,2003-09-07,6,Sunday,2003-09-02,1,Tuesday,364.9999999999998,False,True,False,2003,106.99999999999932,True
2003-W37,2003-09-11,3,Thursday,2003-09-08,0,Monday,269.0000000000015,False,True,False,2003,217.0000000000005,True
2003-W38,2003-09-21,6,Sunday,2003-09-16,1,Tuesday,364.9999999999998,False,True,False,2003,176.0000000000006,True
2003-W39,2003-09-28,6,Sunday,2003-09-28,6,Sunday,206.00000000000173,False,False,True,2003,134.99999999999847,True
2003-W40,2003-10-01,2,Wednesday,2003-10-05,6,Sunday,235.00000000000077,True,False,False,2003,111.0000000000011,True
2003-W41,2003-10-08,2,Wednesday,2003-10-12,6,Sunday,205.99999999999952,True,False,False,2003,-2.9999999999996696,False
2003-W42,2003-10-13,0,Monday,2003-10-16,3,Thursday,221.99999999999997,True,False,False,2003,-69.00000000000128,False
2003-W43,2003-10-23,3,Thursday,2003-10-20,0,Monday,241.0000000000001,False,True,False,2003,111.0000000000011,True
2003-W44,2003-10-29,2,Wednesday,2003-11-02,6,Sunday,327.99999999999943,True,False,False,2003,-288.99999999999926,False
2003-W45,2003-11-06,3,Thursday,2003-11-06,3,Thursday,167.0000000000016,False,False,True,2003,29.000000000001247,True
2003-W46,2003-11-16,6,Sunday,2003-11-10,0,Monday,403.9999999999999,False,True,False,2003,277.00000000000057,True
2003-W47,2003-11-18,1,Tuesday,2003-11-17,0,Monday,244.99999999999966,False,True,False,2003,20.000000000000018,True
