week_key,open,high,low,close,weekly_range_pips,weekly_return_pips
2018-W09,1.22907,1.23547,1.21544,1.23149,200.29999999999993,24.199999999998667
2018-W10,1.23323,1.24458,1.2269,1.23041,176.7999999999992,-28.200000000000447
2018-W11,1.2311,1.24124,1.22601,1.2287,152.29999999999853,-24.000000000001798
2018-W12,1.22829,1.23881,1.22392,1.23509,148.9000000000007,67.99999999999918
2018-W13,1.23486,1.24762,1.22837,1.23215,192.4999999999999,-27.099999999999902
2018-W14,1.23186,1.23447,1.2215,1.22793,129.69999999999925,-39.29999999999989
2018-W15,1.22835,1.23958,1.22601,1.23283,135.6999999999986,44.800000000000395
2018-W16,1.23316,1.24135,1.22497,1.22853,163.8000000000006,-46.30000000000134
2018-W17,1.22716,1.22892,1.20552,1.21281,234.00000000000088,-143.50000000000085
2018-W18,1.21225,1.21387,1.19102,1.1957,228.50000000000037,-165.50000000000065
2018-W19,1.19553,1.19776,1.18225,1.19412,155.0999999999991,-14.099999999999113
2018-W20,1.19405,1.1996,1.17497,1.17684,246.2999999999993,-172.09999999999948
2018-W21,1.17703,1.18295,1.16454,1.16495,184.10000000000036,-120.8000000000009
2018-W22,1.16843,1.17283,1.151,1.16578,218.30000000000015,-26.500000000000412
2018-W23,1.16579,1.18397,1.16524,1.17667,187.29999999999913,108.80000000000001
2018-W24,1.17722,1.18516,1.15432,1.1608,308.3999999999998,-164.1999999999988
2018-W25,1.15865,1.16748,1.15082,1.16521,166.6000000000012,65.60000000000122
2018-W26,1.16619,1.172,1.1527,1.16815,192.99999999999872,19.599999999999618
2018-W27,1.1676,1.17671,1.1591,1.17449,176.09999999999903,68.90000000000063
2018-W28,1.17413,1.17906,1.16126,1.16828,178.00000000000037,-58.499999999999105
2018-W29,1.16879,1.17444,1.15747,1.17195,169.6999999999993,31.600000000000517
2018-W30,1.17243,1.17498,1.16202,1.16526,129.5999999999986,-71.70000000000121
2018-W31,1.1657,1.17457,1.15601,1.15656,185.5999999999991,-91.39999999999927
2018-W32,1.15676,1.16281,1.13879,1.14105,240.1999999999993,-157.10000000000113
2018-W33,1.13702,1.14446,1.13009,1.14358,143.69999999999993,65.60000000000122
2018-W34,1.14373,1.16395,1.13941,1.16197,245.40000000000006,182.40000000000035
2018-W35,1.16139,1.17331,1.15844,1.15973,148.7000000000016,-16.599999999999948
2018-W36,1.1595,1.1659,1.15299,1.15511,129.09999999999977,-43.89999999999894
2018-W37,1.15463,1.17215,1.1526,1.16231,195.49999999999957,76.79999999999909
2018-W38,1.16228,1.18025,1.16177,1.17465,184.80000000000052,123.69999999999992
2018-W39,1.17442,1.18148,1.15699,1.16017,244.90000000000123,-142.50000000000097
2018-W40,1.16165,1.16243,1.14632,1.15216,161.10000000000068,-94.89999999999998
2018-W41,1.15203,1.16104,1.14322,1.1557,178.2000000000017,36.6999999999984
